Order ID,Final Product Name
19763,Soft-Madame-22 Inches-Burgundy
19763,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19764,Spicy-Icon-12 Inches-Black-Highlights-Burgundy
19766,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19767,Pop-Princess-22 Inches-Honey-Blonde
19767,Soft-Girl-12 Inches-Black
19768,Spicy-Icon-12 Inches-Natural-Color-Highlights-Honey-Blonde
19769,Fine-Fox-12 Inches-Black
19769,Sweet-Siren-22 Inches-Dark-Cherry
19769,Soft-Madame-22 Inches-Natural-Color
19769,Spicy-Icon-12 Inches-Black-Highlights-Burgundy
19770,Soft-Madame-22 Inches-Black
19771,Pop-Princess-22 Inches-Honey-Blonde
19772,Midnight-Muse-22 Inches-Natural-Color
19772,Spicy-Icon-12 Inches-Black-Highlights-Burgundy
19772,Pop-Princess-22 Inches-Honey-Blonde
19773,Sweet-Siren-22 Inches-Dark-Cherry
19773,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19774,Sweet-Siren-22 Inches-Dark-Cherry
19775,Pop-Princess-22 Inches-Honey-Blonde
19776,Sweet-Siren-22 Inches-Dark-Cherry
19776,Mother-12 Inches-Chocolate
19776,Soft-Madame-22 Inches-Natural-Color
19777,Spicy-Icon-12 Inches-Natural-Color-Highlights-Honey-Blonde
19778,Urban-Wonder-12 Inches-Black
19778,Mother-12 Inches-Black
19779,Midnight-Muse-22 Inches-Black
19780,Mother-12 Inches-Black
19781,Cosmo-Chic-20 Inches-Black
19782,Dreamy-Halo-22 Inches-Black-Highlights-Burgundy
19782,Fine-Fox-12 Inches-Honey-Blonde
19782,Soft-Madame-22 Inches-Black
19782,Mother-12 Inches-Chocolate
19783,Mother-12 Inches-Black
19783,Dreamy-Halo-22 Inches-Black-Highlights-Burgundy
19784,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19785,Midnight-Muse-22 Inches-Dark-Cherry
19786,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19787,Sweet-Siren-22 Inches-Natural-Color
19787,Soft-Girl-12 Inches-Black
19788,Sweet-Siren-22 Inches-Natural-Color
19789,Cosmo-Chic-20 Inches-Natural-Color
19789,Mother-12 Inches-Black
19790,Soft-Girl-10 Inches-Natural-Color
19791,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19792,Spicy-Icon-12 Inches-Black-Highlights-Burgundy
19792,Pop-Princess-22 Inches-Burgundy
19793,Mother-12 Inches-Black
19793,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19794,Cosmo-Chic-20 Inches-Black
19795,Spicy-Icon-12 Inches-Black-Highlights-Burgundy
19796,City-Charmer-24 Inches-Natural-Color
19796,Urban-Wonder-12 Inches-Honey-Blonde
19796,Pop-Princess-22 Inches-Honey-Blonde
19797,Pop-Princess-22 Inches-Honey-Blonde
19798,Pop-Princess-22 Inches-Black
19799,Urban-Wonder-12 Inches-Natural-Color
19800,Sweet-Siren-22 Inches-Dark-Cherry
19801,Retro-Flair-12 Inches-Natural-Color
19802,Fine-Fox-12 Inches-Black
19803,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde
19803,Fine-Fox-12 Inches-Black
