Order ID,Final Product Name,ReXI Fiber Required To Make Final Product,Individual_FibreQuantity,Total_FibreQuantity,PercentageOfTotal,Forecast_Units_Per_Product_of_10000,Individual_Forecast_FibreQuality_of_10000_Product,Total_Forecast_Fibre_For_All_Products
19763,Soft-Madame-22 Inches-Burgundy,Rexi-straight-hair-24 Inches-Burgundy,1.5,4081.25,0.04,4,6,16496
19763,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19764,Spicy-Icon-12 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-18 Inches-Black,2,4081.25,0.05,5,10,16496
19766,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19767,Pop-Princess-22 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5,4081.25,0.04,4,6,16496
19767,Soft-Girl-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5,4081.25,0.04,4,6,16496
19768,Spicy-Icon-12 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-18 Inches-Natural-Color,2,4081.25,0.05,5,10,16496
19769,Fine-Fox-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5,4081.25,0.04,4,6,16496
19769,Sweet-Siren-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.5,4081.25,0.04,4,6,16496
19769,Soft-Madame-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19769,Spicy-Icon-12 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-18 Inches-Black,2,4081.25,0.05,5,10,16496
19770,Soft-Madame-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19771,Pop-Princess-22 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5,4081.25,0.04,4,6,16496
19772,Midnight-Muse-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.25,4081.25,0.03,3,3.75,16496
19772,Spicy-Icon-12 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-18 Inches-Black,2,4081.25,0.05,5,10,16496
19772,Pop-Princess-22 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5,4081.25,0.04,4,6,16496
19773,Sweet-Siren-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.5,4081.25,0.04,4,6,16496
19773,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19774,Sweet-Siren-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.5,4081.25,0.04,4,6,16496
19775,Pop-Princess-22 Inches-Honey-Blonde,Rexi-straight-hair-24 Inches-Honey-Blonde,1.5,4081.25,0.04,4,6,16496
19776,Sweet-Siren-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.5,4081.25,0.04,4,6,16496
19776,Mother-12 Inches-Chocolate,Rexi-straight-hair-18 Inches-Chocolate,1.75,4081.25,0.04,4,7,16496
19776,Soft-Madame-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19777,Spicy-Icon-12 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-18 Inches-Natural-Color,2,4081.25,0.05,5,10,16496
19778,Urban-Wonder-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1,4081.25,0.02,2,2,16496
19778,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19779,Midnight-Muse-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.25,4081.25,0.03,3,3.75,16496
19780,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19781,Cosmo-Chic-20 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19782,Dreamy-Halo-22 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19782,Fine-Fox-12 Inches-Honey-Blonde,Rexi-straight-hair-18 Inches-Honey-Blonde,1.5,4081.25,0.04,4,6,16496
19782,Soft-Madame-22 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19782,Mother-12 Inches-Chocolate,Rexi-straight-hair-18 Inches-Chocolate,1.75,4081.25,0.04,4,7,16496
19783,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19783,Dreamy-Halo-22 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
19784,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19785,Midnight-Muse-22 Inches-Dark-Cherry,Rexi-straight-hair-24 Inches-Dark-Cherry,1.25,4081.25,0.03,3,3.75,16496
19786,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19787,Sweet-Siren-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19787,Soft-Girl-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.5,4081.25,0.04,4,6,16496
19788,Sweet-Siren-22 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19789,Cosmo-Chic-20 Inches-Natural-Color,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19789,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19790,Soft-Girl-10 Inches-Natural-Color,Rexi-straight-hair-18 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19791,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19792,Spicy-Icon-12 Inches-Black-Highlights-Burgundy,Rexi-straight-hair-18 Inches-Black,2,4081.25,0.05,5,10,16496
19792,Pop-Princess-22 Inches-Burgundy,Rexi-straight-hair-24 Inches-Burgundy,1.5,4081.25,0.04,4,6,16496
19793,Mother-12 Inches-Black,Rexi-straight-hair-18 Inches-Black,1.75,4081.25,0.04,4,7,16496
19793,Dreamy-Halo-22 Inches-Natural-Color-Highlights-Honey-Blonde,Rexi-straight-hair-24 Inches-Natural-Color,1.5,4081.25,0.04,4,6,16496
19794,Cosmo-Chic-20 Inches-Black,Rexi-straight-hair-24 Inches-Black,1.5,4081.25,0.04,4,6,16496
